VAR_ID,Description,,VAR_FRED_ID
D_FIN59AAVOL,"Number of Issues, with a Maturity Between 5 and 9 Days, Used inCalculating the AA Financial Commercial Paper Rates",,D_FRED_FIN59AAVOL
D_FINGT80AAAMT,"Total Value of Issues, with a Maturity Greater Than 80 Days, Used inCalculating the AA Financial Commercial Paper Rates",,D_FRED_FINGT80AAAMT
D_FINGT80AAVOL,"Number of Issues, with a Maturity Greater Than 80 Days, Used inCalculating the AA Financial Commercial Paper Rates",,D_FRED_FINGT80AAVOL
D_MKT1020MKTAMT,Total Value of Commercial Paper Issues with a Maturity Between 10 and20 Days,,D_FRED_MKT1020MKTAMT
D_MKT1020MKTVOL,Number of Commercial Paper Issues with a Maturity Between 10 and 20Days,,D_FRED_MKT1020MKTVOL
D_MKT14MKTAMT,Total Value of Commercial Paper Issues with a Maturity Between 1 and 4Days,,D_FRED_MKT14MKTAMT
D_MKT14MKTVOL,Number of Commercial Paper Issues with a Maturity Between 1 and 4 Days,,D_FRED_MKT14MKTVOL
D_MKT2140MKTAMT,Total Value of Issuers of Commercial Paper with a Maturity Between 21and 40 Days,,D_FRED_MKT2140MKTAMT
D_MKT2140MKTVOL,Number of Commercial Paper Issues with a Maturity Between 21 and 40Days,,D_FRED_MKT2140MKTVOL
D_MKT4180MKTAMT,Total Value of Issuers of Commercial Paper with a Maturity Between 41and 80 Days,,D_FRED_MKT4180MKTAMT
D_MKT4180MKTVOL,Number of Commercial Paper Issues with a Maturity Between 41 and 80Days,,D_FRED_MKT4180MKTVOL
D_MKT59MKTAMT,Total Value of Issuers of Commercial Paper with a Maturity Between 5and 9 Days,,D_FRED_MKT59MKTAMT
D_MKT59MKTVOL,Number of Commercial Paper Issues with a Maturity Between 5 and 9 Days,,D_FRED_MKT59MKTVOL
D_MKTGT80MKTAMT,Total Value of Issuers of Commercial Paper with a Maturity GreaterThan 80 Days,,D_FRED_MKTGT80MKTAMT
D_MKTGT80MKTVOL,Number of Commercial Paper Issues with a Maturity Greater Than 80 Days,,D_FRED_MKTGT80MKTVOL
D_NONFIN1020A2P2AMT,"Total Value of Issues, with a Maturity Between 10 and 20 Days, Used inCalculating the A2/P2 Nonfinancial Commercial Paper Rates",,D_FRED_NONFIN1020A2P2AMT
D_NONFIN1020A2P2VOL,"Number of Issues, with a Maturity Between 10 and 20 Days, Used inCalculating the A2/P2 Nonfinancial Commercial Paper Rates",,D_FRED_NONFIN1020A2P2VOL
D_NONFIN1020AAAMT,"Total Value of Issues, with a Maturity Between 10 and 20 Days, Used inCalculating the AA Nonfinancial Commercial Paper Rates",,D_FRED_NONFIN1020AAAMT
D_NONFIN1020AAVOL,"Number of Issues, with a Maturity Between 10 and 20 Days, Used inCalculating the AA Nonfinancial Commercial Paper Rates",,D_FRED_NONFIN1020AAVOL
D_NONFIN14A2P2AMT,"Total Value of Issues, with a Maturity Between 1 and 4 Days, Used inCalculating the A2/P2 Nonfinancial Commercial Paper Rates",,D_FRED_NONFIN14A2P2AMT
D_NONFIN14A2P2VOL,"Number of Issues, with a Maturity Between 1 and 4 Days, Used inCalculating the A2/P2 Nonfinancial Commercial Paper Rates",,D_FRED_NONFIN14A2P2VOL
D_NONFIN14AAAMT,"Total Value of Issues, with a Maturity Between 1 and 4 Days, Used inCalculating the AA Nonfinancial Commercial Paper Rates",,D_FRED_NONFIN14AAAMT
D_NONFIN14AAVOL,"Number of Issues, with a Maturity Between 1 and 4 Days, Used inCalculating the AA Nonfinancial Commercial Paper Rates",,D_FRED_NONFIN14AAVOL
